area_name_en,area_name_ar,id
AL-SULAIBIYA AGRICULTURAL,الصليبية الزراعية,104
AL-ABDALLI,العبدلي,105
AMGHARA INDUSTRIAL,أمغرة الصناعية,106
AL-MUTLA,المطلاع,107
KAZMAH,كاظمة,108
AL-RAWADATAIN,الروضتين,109
UM ALAISH,أم العيش,110
AL-SALMI,السالمي,111
KABAD,كبد,112
AL-SUBIYA,الصبية,113
AL-JAHRA CAMPS,معسكرات الجهراء,114
AL-JAHRA GOVERNORATE DESERT,بر محافظة الجهراء,115
SAAD AL-ABDULLAH,سعد العبدالله,116
AL-QAIRAWAN,القيروان,117
JAWAKHER AL-JAHRA,جواخير الجهراء,118
NOURTH WEST AL-JAHRA,شمال غرب الجهراء,119
AL-NAAYIM INDUSTRIAL,النعايم الصناعية,120
SOUTH AL-MITLAE,جنوب المطلاع,121
AL-SULAIBIKHAT CEMETERY,مقبرة الصليبيخات,122
SOUTH AMGHARA,جنوب أمغرة,123
AL-NAHDA,النهضة,124
AL-FARAWANIYA,الفروانية,125
KHAITAN,خيطان,126
AL-RAI,الري,127
AL-OMARIYA,العمرية,128
AL-RABIYA,الرابية,129
AL-RIHAB,الرحاب,130
JLEEB AL-SHUYOUKH,جليب الشيوخ,131
AL-RIGGAE,الرقعي,132
AL-ANDALUS,الأندلس,133
AL-ARDIYA,العارضية,134
SABAH AL-NASSER,صباح الناصر,135
AL-ARDIYA GOVERNORATE USE,العارضية استعمال الحكومة,136
ASHBELYA,اشبيلية,137
AL-ARDIYA STORES,العارضية مخازن,138
AL-FORDOUS,الفردوس,139
AL-DHAJEEJ,الضجيج,140
THE AIRPORT,المطار,141
ABDULLAH AL-MUBARAK,عبدالله المبارك,142
AL-ARDIYA INDUSTRIAL,العارضية الحرفية,143
WEST ABDULLAH AL-MUBARAK,غرب عبدالله المبارك,144
MUBARAK AL-KABEER,مبارك الكبير,145
AL-QURIAN,القرين,146
AL-ADAN,العدان,147
AL-QUSOUR,القصور,148
AL-MISILA,المسيلة,149
AL-MASAYEL,المسايل,150
SABAH AL-SALEM,صباح السالم,151
AL-FUNAITEES,الفنيطيس,152
SABHAN INDUSTRAIL,صبحان الصناعية,153
ABU FUTAIRA,أبو فطيرة,154
CENTRAL AREA,المنطقة الوسطى,155
WEST ABU FUTAIRA,غرب أبو فطيرة,156
ABU AL-HASANIYA,أبو الحصانية,157
NOT STATED,غير مبين,158
